"country_name","region","income_group","year","cohort_size","coverage","cancer_prevented","deaths_prevented","assumption_type","possible_cancer_cases","possible_cancer_deaths"
"Central African Republic","Sub-Saharan Africa","Low income",2021,80688.8,0,0,0,"Attain WHO Coverage Goal",982.23,808.34
"Canada","North America","High income",2021,198313.24,0.87,874.46,509.11,"Attain WHO Coverage Goal",1027.3,595.88
"Switzerland","Europe & Central Asia","High income",2021,40544.24,0.71,110.97,60.95,"Attain WHO Coverage Goal",160.05,88.09
"Chile","Latin America & Caribbean","High income",2021,124945.53,0.57,890.14,619.1,"Attain WHO Coverage Goal",1574.14,1088.96
"China","East Asia & Pacific","Upper middle income",2021,8040300.05,0,0,0,"Attain WHO Coverage Goal",68733.45,43758.45
"Côte d’Ivoire","Sub-Saharan Africa","Lower middle income",2021,368846.68,0.41,3053.68,2389.85,"Attain WHO Coverage Goal",7623.14,5937.6
"Cameroon","Sub-Saharan Africa","Lower middle income",2021,387318.31,0.05,374.76,277.24,"Attain WHO Coverage Goal",7829.42,5821.44
"Congo, Dem. Rep.","Sub-Saharan Africa","Low income",2021,1387133.45,0,0,0,"Attain WHO Coverage Goal",30734.41,24678.61
"Congo, Rep.","Sub-Saharan Africa","Lower middle income",2021,76342.66,0,0,0,"Attain WHO Coverage Goal",1420.38,995.26
"Colombia","Latin America & Caribbean","Upper middle income",2021,379485.74,0.11,658.62,454.38,"Attain WHO Coverage Goal",6088.54,4205.03
"Comoros","Sub-Saharan Africa","Lower middle income",2021,11311.68,0,0,0,"Attain WHO Coverage Goal",423.5,327.44
"Cabo Verde","Sub-Saharan Africa","Lower middle income",2021,5192.57,0,0,0,"Attain WHO Coverage Goal",80.68,72.35
"Costa Rica","Latin America & Caribbean","Upper middle income",2021,35150.5,0.59,188.07,170.16,"Attain WHO Coverage Goal",325.14,295.51
"Cyprus","Europe & Central Asia","High income",2021,6658.42,0,0,0,"Attain WHO Coverage Goal",36.02,46.04
"Czech Republic","Europe & Central Asia","High income",2021,57463.79,0,0,0,"Attain WHO Coverage Goal",502.4,307.62
"Germany","Europe & Central Asia","High income",2021,365965,0.47,1131.76,579.08,"Attain WHO Coverage Goal",2457.15,1252.24
"Djibouti","Middle East & North Africa","Lower middle income",2021,8967.97,0,0,0,"Attain WHO Coverage Goal",105.04,84.17
"Denmark","Europe & Central Asia","High income",2021,32808.3,0.8,226.53,108.65,"Attain WHO Coverage Goal",286.48,135.88
"Dominican Republic","Latin America & Caribbean","Upper middle income",2021,99320.76,0.08,164.41,134.98,"Attain WHO Coverage Goal",2072.58,1699.48
"Algeria","Middle East & North Africa","Lower middle income",2021,408768.29,0,0,0,"Attain WHO Coverage Goal",3471.18,2279.31
"Ecuador","Latin America & Caribbean","Upper middle income",2021,156033.01,0.03,94.07,66.2,"Attain WHO Coverage Goal",3225.12,2280.34
"Egypt, Arab Rep.","Middle East & North Africa","Lower middle income",2021,1007887.81,0,0,0,"Attain WHO Coverage Goal",3550.67,2692.5
"Spain","Europe & Central Asia","High income",2021,245759.07,0.77,953.53,480.05,"Attain WHO Coverage Goal",1266.23,637.68
"Estonia","Europe & Central Asia","High income",2021,7562.71,0.57,71.71,25.37,"Attain WHO Coverage Goal",128.28,45.4
"Ethiopia","Sub-Saharan Africa","Low income",2021,1559827.09,0.75,18329.74,14777.13,"Attain WHO Coverage Goal",25496.81,20636.41
"Finland","Europe & Central Asia","High income",2021,30849.46,0,0,0,"Attain WHO Coverage Goal",133.02,59.17
"Fiji","East Asia & Pacific","Upper middle income",2021,8447.43,0,0,0,"Attain WHO Coverage Goal",237.56,195.44
"France","Europe & Central Asia","High income",2021,393536.36,0.37,1019.08,487.63,"Attain WHO Coverage Goal",2810.42,1344.78
"Micronesia, Fed. Sts.","East Asia & Pacific","Lower middle income",2021,1201.67,0.32,10.99,9.1,"Attain WHO Coverage Goal",29.05,22.59
"Gabon","Sub-Saharan Africa","Upper middle income",2021,25434.84,0,0,0,"Attain WHO Coverage Goal",632.64,389.91
"United Kingdom","Europe & Central Asia","High income",2021,397772.23,0.59,1588.14,600.03,"Attain WHO Coverage Goal",2740.89,1029.79
"Georgia","Europe & Central Asia","Upper middle income",2021,25412.42,0.12,30.24,20.15,"Attain WHO Coverage Goal",255.75,170.13
"Ghana","Sub-Saharan Africa","Lower middle income",2021,383340.03,0,0,0,"Attain WHO Coverage Goal",9293.28,6845.41
"Guinea","Sub-Saharan Africa","Low income",2021,200163.73,0,0,0,"Attain WHO Coverage Goal",6611.26,5321.54
"Gambia, The","Sub-Saharan Africa","Low income",2021,34136.51,0.3,403.54,364.71,"Attain WHO Coverage Goal",1360.5,1226.96
"Guinea-Bissau","Sub-Saharan Africa","Low income",2021,28932.07,0,0,0,"Attain WHO Coverage Goal",759.94,620.1
"Equatorial Guinea","Sub-Saharan Africa","Upper middle income",2021,17156.54,0,0,0,"Attain WHO Coverage Goal",344.59,226.77
"Greece","Europe & Central Asia","High income",2021,52551.99,0,0,0,"Attain WHO Coverage Goal",453.67,215.08
"Guatemala","Latin America & Caribbean","Upper middle income",2021,195809.51,0.15,563.65,401.63,"Attain WHO Coverage Goal",4100.84,2960.89
"Guyana","Latin America & Caribbean","Upper middle income",2021,7062.52,0.02,3.56,2.25,"Attain WHO Coverage Goal",180.47,114.57
"Honduras","Latin America & Caribbean","Lower middle income",2021,102447.3,0.53,833.25,575.86,"Attain WHO Coverage Goal",1682.37,1154.64
"Croatia","Europe & Central Asia","High income",2021,21021.01,0,0,0,"Attain WHO Coverage Goal",198.56,100.18
"Haiti","Latin America & Caribbean","Lower middle income",2021,131465.06,0,0,0,"Attain WHO Coverage Goal",1702.28,1416.11
"Hungary","Europe & Central Asia","High income",2021,47350.24,0.82,539.79,231.65,"Attain WHO Coverage Goal",670.97,287.44
"Indonesia","East Asia & Pacific","Lower middle income",2021,2334957.97,0.05,2373.14,1675.41,"Attain WHO Coverage Goal",50733.26,36379.74
"India","South Asia","Lower middle income",2021,12967798.27,0,0,0,"Attain WHO Coverage Goal",216595.56,156682.45
"Ireland","Europe & Central Asia","High income",2021,35981.35,0.71,221.95,96.53,"Attain WHO Coverage Goal",319.07,138.87
"Iran, Islamic Rep.","Middle East & North Africa","Lower middle income",2021,638877.52,0,0,0,"Attain WHO Coverage Goal",2125.2,1782.51
"Iraq","Middle East & North Africa","Upper middle income",2021,472899.84,0,0,0,"Attain WHO Coverage Goal",968.94,751.21
"Iceland","Europe & Central Asia","High income",2021,2284.55,0.9,11.69,7.34,"Attain WHO Coverage Goal",13.27,8.35
"Israel","Middle East & North Africa","High income",2021,73862.53,0.55,203.77,141.69,"Attain WHO Coverage Goal",380.55,265.8
"Italy","Europe & Central Asia","High income",2021,278469.42,0,0,0,"Attain WHO Coverage Goal",1609.26,616.5
"Jamaica","Latin America & Caribbean","Upper middle income",2021,22583.76,0.02,8.65,6.3,"Attain WHO Coverage Goal",456.31,334.45
"Jordan","Middle East & North Africa","Upper middle income",2021,115417.71,0,0,0,"Attain WHO Coverage Goal",422.16,339.09
"Japan","East Asia & Pacific","High income",2021,542814.54,0,0,0,"Attain WHO Coverage Goal",6292.98,2335.01
"Kazakhstan","Europe & Central Asia","Upper middle income",2021,170883.54,0,0,0,"Attain WHO Coverage Goal",2286.12,1202.62
"Kenya","Sub-Saharan Africa","Lower middle income",2021,733831.21,0.44,6562.56,4577.62,"Attain WHO Coverage Goal",17113.43,12105.51
"Kyrgyz Republic","Europe & Central Asia","Lower middle income",2021,63977.78,0,0,0,"Attain WHO Coverage Goal",895.56,627.09
"Cambodia","East Asia & Pacific","Lower middle income",2021,174229.91,0,0,0,"Attain WHO Coverage Goal",2092.11,1501.32
"Kiribati","East Asia & Pacific","Lower middle income",2021,1470.29,0,0,0,"Attain WHO Coverage Goal",40.65,33.59
"Korea, Rep.","East Asia & Pacific","High income",2021,221467.83,0,0,0,"Attain WHO Coverage Goal",1757.69,965.14
"Kuwait","Middle East & North Africa","High income",2021,28536.15,0,0,0,"Attain WHO Coverage Goal",80.18,59.37
"Lao PDR","East Asia & Pacific","Lower middle income",2021,81769.29,0.42,334.43,230.32,"Attain WHO Coverage Goal",814.24,560.33
"Lebanon","Middle East & North Africa","Lower middle income",2021,51582.4,0,0,0,"Attain WHO Coverage Goal",227.69,164.06
"Liberia","Sub-Saharan Africa","Low income",2021,71160.67,0.3,596.79,485,"Attain WHO Coverage Goal",2280.82,1884.35
"Libya","Middle East & North Africa","Upper middle income",2021,63577.28,0,0,0,"Attain WHO Coverage Goal",507.56,396.28
"St. Lucia","Latin America & Caribbean","Upper middle income",2021,1093.81,0.62,14.2,11.3,"Attain WHO Coverage Goal",23.48,18.74
"Sri Lanka","South Asia","Lower middle income",2021,173681.83,0.46,780.45,483.42,"Attain WHO Coverage Goal",1747.39,1083.24
"Lesotho","Sub-Saharan Africa","Lower middle income",2021,23866.25,0,0,0,"Attain WHO Coverage Goal",802.38,595.12
"Lithuania","Europe & Central Asia","High income",2021,12028.09,0.66,125.96,60.99,"Attain WHO Coverage Goal",194.68,94.34
"Luxembourg","Europe & Central Asia","High income",2021,3170.47,0,0,0,"Attain WHO Coverage Goal",19.58,10.56
"Latvia","Europe & Central Asia","High income",2021,10008.05,0.42,60.06,32.61,"Attain WHO Coverage Goal",145.46,79.51
"Morocco","Middle East & North Africa","Lower middle income",2021,320951.41,0,0,0,"Attain WHO Coverage Goal",3547.27,2241.23
"Moldova","Europe & Central Asia","Upper middle income",2021,21929.86,0.35,90.29,55.24,"Attain WHO Coverage Goal",264.54,163.14
"Madagascar","Sub-Saharan Africa","Low income",2021,369666.02,0,0,0,"Attain WHO Coverage Goal",11686.65,9069.52
"Maldives","South Asia","Upper middle income",2021,3457.56,0.41,32.24,22.04,"Attain WHO Coverage Goal",80.23,54.8
"Mexico","Latin America & Caribbean","Upper middle income",2021,1111640.59,0.01,130.15,74.95,"Attain WHO Coverage Goal",13211.18,7594.11
"Marshall Islands","East Asia & Pacific","Upper middle income",2021,629.29,0.27,4,3.19,"Attain WHO Coverage Goal",16.63,13.5
"North Macedonia","Europe & Central Asia","Upper middle income",2021,10896.73,0.21,14.45,9.87,"Attain WHO Coverage Goal",68.66,45.63
"Mali","Sub-Saharan Africa","Low income",2021,333656.06,0,0,0,"Attain WHO Coverage Goal",7116.39,5828.13
"Malta","Middle East & North Africa","High income",2021,2000.05,0.99,8.19,6.37,"Attain WHO Coverage Goal",8.4,6.43
"Myanmar","East Asia & Pacific","Lower middle income",2021,515677.02,0,0,0,"Attain WHO Coverage Goal",9210.45,6860.85
"Montenegro","Europe & Central Asia","Upper middle income",2021,3781.91,0,0,0,"Attain WHO Coverage Goal",75.68,46.53
"Mongolia","East Asia & Pacific","Lower middle income",2021,30624.02,0,0,0,"Attain WHO Coverage Goal",529.97,485.99
"Mozambique","Sub-Saharan Africa","Low income",2021,476753.7,0,0,0,"Attain WHO Coverage Goal",14680.69,12148.09
"Mauritania","Sub-Saharan Africa","Lower middle income",2021,60259.89,0,0,0,"Attain WHO Coverage Goal",1195.82,908.47
"Mauritius","Sub-Saharan Africa","Upper middle income",2021,7708.75,0.55,60.25,42.15,"Attain WHO Coverage Goal",112.46,79.27
"Malawi","Sub-Saharan Africa","Low income",2021,291765.27,0.12,1403.55,1137.41,"Attain WHO Coverage Goal",12693.87,10413.5
"Malaysia","East Asia & Pacific","Upper middle income",2021,237171.84,0.14,361.36,302.64,"Attain WHO Coverage Goal",2609.43,2175.46
"Namibia","Sub-Saharan Africa","Upper middle income",2021,31136.5,0,0,0,"Attain WHO Coverage Goal",998.09,718.53
"Niger","Sub-Saharan Africa","Low income",2021,399442.46,0,0,0,"Attain WHO Coverage Goal",2552.6,2193.09
"Nigeria","Sub-Saharan Africa","Lower middle income",2021,3188855.31,0,0,0,"Attain WHO Coverage Goal",29984.07,23293.9
"Nicaragua","Latin America & Caribbean","Lower middle income",2021,63904.58,0,0,0,"Attain WHO Coverage Goal",1392.45,949.35
"Netherlands","Europe & Central Asia","High income",2021,90280.39,0.66,336.4,144.14,"Attain WHO Coverage Goal",524.53,227.64
"Norway","Europe & Central Asia","High income",2021,31661.44,0.93,271.18,107.37,"Attain WHO Coverage Goal",296.72,116.75
"Nepal","South Asia","Lower middle income",2021,305121.71,0,0,0,"Attain WHO Coverage Goal",6341.53,4986.81
"New Zealand","East Asia & Pacific","High income",2021,31908.63,0.48,78.84,50.13,"Attain WHO Coverage Goal",168.5,107.28
"Oman","Middle East & North Africa","High income",2021,31824.8,0,0,0,"Attain WHO Coverage Goal",229.07,176.13
"Pakistan","South Asia","Lower middle income",2021,2530312.05,0,0,0,"Attain WHO Coverage Goal",10992.75,7662.42
"Panama","Latin America & Caribbean","High income",2021,37442.76,0,0,0,"Attain WHO Coverage Goal",516.51,370.42
"Peru","Latin America & Caribbean","Upper middle income",2021,285010.71,0.53,3500.65,2478.68,"Attain WHO Coverage Goal",6986.35,5040.55
"Philippines","East Asia & Pacific","Lower middle income",2021,1115418.79,0,0,0,"Attain WHO Coverage Goal",16326.22,11765.64
"Papua New Guinea","East Asia & Pacific","Lower middle income",2021,104276.94,0,0,0,"Attain WHO Coverage Goal",2318.5,1771.16
"Poland","Europe & Central Asia","High income",2021,198103.41,0,0,0,"Attain WHO Coverage Goal",2449.3,1524.75
"Portugal","Europe & Central Asia","High income",2021,47441.48,0.76,357.39,179.44,"Attain WHO Coverage Goal",483.17,243.62
"Paraguay","Latin America & Caribbean","Upper middle income",2021,68468.05,0.17,348.51,258.6,"Attain WHO Coverage Goal",2085.22,1548.52
"West Bank and Gaza","Middle East & North Africa","Lower middle income",2021,61185.27,0,0,0,"Attain WHO Coverage Goal",549.44,420.02
"Qatar","Middle East & North Africa","High income",2021,12458.82,0,0,0,"Attain WHO Coverage Goal",48.86,54.29
"Romania","Europe & Central Asia","High income",2021,107515.31,0,0,0,"Attain WHO Coverage Goal",2004.62,1199.13
"Russian Federation","Europe & Central Asia","Upper middle income",2021,834221.72,0,0,0,"Attain WHO Coverage Goal",8882.1,4669.76
"Rwanda","Sub-Saharan Africa","Low income",2021,175369.36,0.73,2668.68,2102.44,"Attain WHO Coverage Goal",4104.17,3300.54
"Saudi Arabia","Middle East & North Africa","High income",2021,273746.83,0,0,0,"Attain WHO Coverage Goal",962.52,681.54
"Sudan","Sub-Saharan Africa","Low income",2021,590543.89,0,0,0,"Attain WHO Coverage Goal",4143.16,3232.19
"Senegal","Sub-Saharan Africa","Lower middle income",2021,234528.01,0.21,1567.85,1255.34,"Attain WHO Coverage Goal",7202.13,5707.29
"Singapore","East Asia & Pacific","High income",2021,23541.83,0,0,0,"Attain WHO Coverage Goal",218.29,162.7
"Solomon Islands","East Asia & Pacific","Lower middle income",2021,8065,0,0,0,"Attain WHO Coverage Goal",208.74,150.44
"Sierra Leone","Sub-Saharan Africa","Low income",2021,124911.78,0,0,0,"Attain WHO Coverage Goal",1464.07,1191.65
"El Salvador","Latin America & Caribbean","Lower middle income",2021,57398.62,0.24,193.74,148.31,"Attain WHO Coverage Goal",867.48,672.51
"Somalia","Sub-Saharan Africa","Low income",2021,266237.67,0,0,0,"Attain WHO Coverage Goal",3854.9,3256.87
"Serbia","Europe & Central Asia","Upper middle income",2021,46674.4,0,0,0,"Attain WHO Coverage Goal",721.26,418.64
"São Tomé and Príncipe","Sub-Saharan Africa","Lower middle income",2021,3084.68,0,0,0,"Attain WHO Coverage Goal",109.9,105.46
"Suriname","Latin America & Caribbean","Upper middle income",2021,5109.94,0.02,2.05,1.44,"Attain WHO Coverage Goal",104.59,73.81
"Slovak Republic","Europe & Central Asia","High income",2021,28262.06,0,0,0,"Attain WHO Coverage Goal",417.01,211.25
"Slovenia","Europe & Central Asia","High income",2021,10469.02,0.5,30.38,20.53,"Attain WHO Coverage Goal",61.72,41.41
"Sweden","Europe & Central Asia","High income",2021,58228.23,0.83,404.21,176.54,"Attain WHO Coverage Goal",496.64,216.36
"Eswatini","Sub-Saharan Africa","Lower middle income",2021,16762.61,0,0,0,"Attain WHO Coverage Goal",913.33,663.23
"Chad","Sub-Saharan Africa","Low income",2021,278497.94,0,0,0,"Attain WHO Coverage Goal",2766.06,2327.64
"Togo","Sub-Saharan Africa","Low income",2021,118291.36,0,0,0,"Attain WHO Coverage Goal",1743.74,1382.38
"Thailand","East Asia & Pacific","Upper middle income",2021,401300.59,0,0,0,"Attain WHO Coverage Goal",7136.71,4718.93
"Tajikistan","Europe & Central Asia","Lower middle income",2021,104298.89,0,0,0,"Attain WHO Coverage Goal",802.74,605.85
"Turkmenistan","Europe & Central Asia","Upper middle income",2021,55962.83,0.99,669.49,451.26,"Attain WHO Coverage Goal",678.83,455.61
"Timor-Leste","East Asia & Pacific","Lower middle income",2021,16226.1,0,0,0,"Attain WHO Coverage Goal",208.43,158.85
"Tonga","East Asia & Pacific","Upper middle income",2021,1163.03,0,0,0,"Attain WHO Coverage Goal",35.88,30.03
"Trinidad and Tobago","Latin America & Caribbean","High income",2021,9841.3,0.08,17.34,11.5,"Attain WHO Coverage Goal",209.95,139.06
"Tunisia","Middle East & North Africa","Lower middle income",2021,86441.94,0,0,0,"Attain WHO Coverage Goal",435.96,268.1
"Türkiye","Europe & Central Asia","Upper middle income",2021,676186.54,0,0,0,"Attain WHO Coverage Goal",4016.45,2658.91
"Tuvalu","East Asia & Pacific","Upper middle income",2021,132.82,0.27,0.93,0.76,"Attain WHO Coverage Goal",4,3.35
"Tanzania","Sub-Saharan Africa","Lower middle income",2021,856972.99,0.57,23855.98,17552.71,"Attain WHO Coverage Goal",43297.14,31845.31
"Uganda","Sub-Saharan Africa","Low income",2021,701029.21,0.44,11018.28,8696.14,"Attain WHO Coverage Goal",27928.42,22459.36
"Ukraine","Europe & Central Asia","Lower middle income",2021,244956.31,0,0,0,"Attain WHO Coverage Goal",2585.5,1139.65
"Uruguay","Latin America & Caribbean","High income",2021,22921.32,0.17,37.48,25.18,"Attain WHO Coverage Goal",225.98,152.25
"United States","North America","High income",2021,2081906.53,0.48,5476.59,2808.47,"Attain WHO Coverage Goal",11605.35,5926.69
"Uzbekistan","Europe & Central Asia","Lower middle income",2021,305807.06,0.87,2417.27,1636.61,"Attain WHO Coverage Goal",2843.44,1925.32
"Vietnam","East Asia & Pacific","Lower middle income",2021,699864.97,0,0,0,"Attain WHO Coverage Goal",5198.94,3706.23
"Vanuatu","East Asia & Pacific","Lower middle income",2021,3802.48,0,0,0,"Attain WHO Coverage Goal",46.24,41.1
"Samoa","East Asia & Pacific","Lower middle income",2021,2256.03,0,0,0,"Attain WHO Coverage Goal",24.16,19.37
"Kosovo","Europe & Central Asia","Upper middle income",2021,9579.2,0,0,0,"Attain WHO Coverage Goal",55.39,33.34
"South Africa","Sub-Saharan Africa","Upper middle income",2021,602525.96,0.34,5313.89,3096.83,"Attain WHO Coverage Goal",16044.02,9405.02
"Zambia","Sub-Saharan Africa","Low income",2021,274554.25,0.33,3993.5,2841.51,"Attain WHO Coverage Goal",13427.44,9711.05
"Zimbabwe","Sub-Saharan Africa","Lower middle income",2021,218636.87,0.4,3637.37,2772.74,"Attain WHO Coverage Goal",9955.35,7686.01
"Afghanistan","South Asia","Low income",2022,578152.48,0.1,404.36,312.79,"Attain WHO Coverage Goal",4250.92,3298.82
"Angola","Sub-Saharan Africa","Lower middle income",2022,545561.66,0.1,1353.54,984.3,"Attain WHO Coverage Goal",14492.88,10629.32
"Albania","Europe & Central Asia","Upper middle income",2022,15146.54,0.1,8.96,5.51,"Attain WHO Coverage Goal",89.82,54.72
"United Arab Emirates","Middle East & North Africa","High income",2022,48679.96,0.1,38.48,29.48,"Attain WHO Coverage Goal",373.85,282.71
"Argentina","Latin America & Caribbean","Upper middle income",2022,363663.03,0.571111111111111,2827,1879.94,"Attain WHO Coverage Goal",5002.54,3296.31
"Armenia","Europe & Central Asia","Upper middle income",2022,19759.35,0.171111111111111,28.8,21.57,"Attain WHO Coverage Goal",166.32,123.27
"Australia","East Asia & Pacific","High income",2022,162890.97,0.686666666666667,548.61,298.14,"Attain WHO Coverage Goal",821.21,451.08
"Austria","Europe & Central Asia","High income",2022,41090.75,0.1,22.65,12.02,"Attain WHO Coverage Goal",229.67,121.22
"Azerbaijan","Europe & Central Asia","Upper middle income",2022,74549.31,0.1,44.26,30.03,"Attain WHO Coverage Goal",449.45,304.25
"Burundi","Sub-Saharan Africa","Low income",2022,186019.67,0.1,585.77,486.03,"Attain WHO Coverage Goal",6392.72,5352.7
"Belgium","Europe & Central Asia","High income",2022,66313.06,0.722222222222222,335.94,155.11,"Attain WHO Coverage Goal",474.76,218.95
"Benin","Sub-Saharan Africa","Lower middle income",2022,177294.7,0.1,163.84,120.14,"Attain WHO Coverage Goal",1790.81,1322.66
"Burkina Faso","Sub-Saharan Africa","Low income",2022,329981.84,0.1,345.03,284.33,"Attain WHO Coverage Goal",3770.24,3136.24
"Bangladesh","South Asia","Lower middle income",2022,1542105.68,0.1,1251.18,881.49,"Attain WHO Coverage Goal",12551.56,8805.28
"Bulgaria","Europe & Central Asia","Upper middle income",2022,35951.36,0.126666666666667,67.2,37.84,"Attain WHO Coverage Goal",536.38,296.73
"Bahrain","Middle East & North Africa","High income",2022,9883.53,0.1,4.72,3.13,"Attain WHO Coverage Goal",47.65,31.55
"Bahamas, The","Latin America & Caribbean","High income",2022,2974.85,0.1,4.7,3.45,"Attain WHO Coverage Goal",47.77,35.1
"Bosnia and Herzegovina","Europe & Central Asia","Upper middle income",2022,17473.53,0.1,17.45,9.76,"Attain WHO Coverage Goal",177.65,99.73
"Belarus","Europe & Central Asia","Upper middle income",2022,52208.92,0.1,48.77,22.76,"Attain WHO Coverage Goal",491.99,227.92
"Belize","Latin America & Caribbean","Upper middle income",2022,3821.27,0.135555555555556,10.54,10.29,"Attain WHO Coverage Goal",78.73,76.83
"Bolivia","Latin America & Caribbean","Lower middle income",2022,121689.06,0.42,1241.3,854.43,"Attain WHO Coverage Goal",3081.15,2364.25
"Brazil","Latin America & Caribbean","Upper middle income",2022,1470369.64,0.695555555555556,13131.42,7913.47,"Attain WHO Coverage Goal",19383.21,11772.35
"Barbados","Latin America & Caribbean","High income",2022,1665.43,0.348888888888889,10.31,7.03,"Attain WHO Coverage Goal",30.7,20.91
"Brunei Darussalam","East Asia & Pacific","High income",2022,3178.03,0.891111111111111,39.26,12.89,"Attain WHO Coverage Goal",45,14.78
"Bhutan","South Asia","Lower middle income",2022,6644.48,0.882222222222222,65.39,44.15,"Attain WHO Coverage Goal",71.98,48.26
"Botswana","Sub-Saharan Africa","Upper middle income",2022,27047.79,0.295555555555556,209.85,141.32,"Attain WHO Coverage Goal",836.37,586.47
"Central African Republic","Sub-Saharan Africa","Low income",2022,80644.38,0.1,94.5,77.59,"Attain WHO Coverage Goal",990.83,815.72
"Canada","North America","High income",2022,198361.1,0.873333333333333,879.54,512.82,"Attain WHO Coverage Goal",1029.42,598.01
"Switzerland","Europe & Central Asia","High income",2022,41282.02,0.731111111111111,116.57,64.12,"Attain WHO Coverage Goal",163.26,89.98
"Chile","Latin America & Caribbean","High income",2022,125345.79,0.606666666666667,952.93,663.33,"Attain WHO Coverage Goal",1583.32,1096.25
"China","East Asia & Pacific","Upper middle income",2022,8101533.19,0.1,6982.16,4507.98,"Attain WHO Coverage Goal",69508.78,44283.16
"Côte d’Ivoire","Sub-Saharan Africa","Lower middle income",2022,376162.62,0.464444444444444,3559.74,2787.05,"Attain WHO Coverage Goal",7850.35,6117.94
"Cameroon","Sub-Saharan Africa","Lower middle income",2022,393973.36,0.144444444444444,1109.32,820.96,"Attain WHO Coverage Goal",8034.03,5977.21
"Congo, Dem. Rep.","Sub-Saharan Africa","Low income",2022,1425068.82,0.1,2887.35,2293.46,"Attain WHO Coverage Goal",31879.83,25610.45
"Congo, Rep.","Sub-Saharan Africa","Lower middle income",2022,77668.82,0.1,129.2,88.89,"Attain WHO Coverage Goal",1462.52,1025.96
"Colombia","Latin America & Caribbean","Upper middle income",2022,375244.33,0.197777777777778,1174.81,811.29,"Attain WHO Coverage Goal",6039.94,4175.21
"Comoros","Sub-Saharan Africa","Lower middle income",2022,11527.03,0.1,42.73,33.08,"Attain WHO Coverage Goal",434.09,335.78
"Cabo Verde","Sub-Saharan Africa","Lower middle income",2022,5228.22,0.1,8.34,7.54,"Attain WHO Coverage Goal",81.42,73.03
